Image,Ground Truth,Prediction (Before Preproc),Prediction (After Preproc),Exact Match Before,Exact Match After,Char Acc Before (%),Char Acc After (%),Edit Acc Before (%),Edit Acc After (%),Char Improvement (%),Edit Improvement (%)
0.jpg,117T3989,117٠39٥,3309TN7,No,No,62.50,0.00,62.50,0.00,-62.50,-62.50
1.jpg,128T8086,80867تنن728|,8086TN128,No,No,8.33,11.11,16.67,22.22,+2.78,+5.56
10.jpg,94T3458,|73458ن94,9258,No,No,0.00,14.29,33.33,42.86,+14.29,+9.52
100.jpg,133T6719,6719تونن133,6719TN1333,No,No,0.00,10.00,18.18,10.00,+10.00,-8.18
101.jpg,68T5979,5979توضش68,5979TN68,No,No,0.00,0.00,10.00,12.50,+0.00,+2.50
102.jpg,106T2131,2131تونىن106,2131TN106,No,No,0.00,0.00,16.67,33.33,+0.00,+16.67
103.jpg,117T2600,6٥5?/ن3117,05TN26,No,No,0.00,25.00,0.00,25.00,+25.00,+25.00
104.jpg,58T8888,588888,58TN88,No,No,71.43,71.43,85.71,71.43,+0.00,-14.29
105.jpg,93T5599,5599تونىن93,5599TN93,No,No,0.00,12.50,18.18,25.00,+12.50,+6.82
106.jpg,155T1216,1216تونن55[,1216TN155,No,No,9.09,22.22,9.09,22.22,+13.13,+13.13
107.jpg,191T2827,آ٧;2027,٥3TN923,No,No,0.00,0.00,37.50,25.00,+0.00,-12.50
108.jpg,127T9733,/9733تونى127|,9733TN127,No,No,7.69,0.00,7.69,11.11,-7.69,+3.42
109.jpg,121T237,237تونن121,237TN127,No,No,0.00,12.50,0.00,25.00,+12.50,+25.00
11.jpg,96T8557,9&6557تونن,96TN857,No,No,20.00,71.43,30.00,71.43,+51.43,+41.43
110.jpg,172T9314,9314تونىن172,9314TN172,No,No,0.00,11.11,16.67,11.11,+11.11,-5.56
111.jpg,152T8269,8269تونن152,8269TN152,No,No,0.00,0.00,0.00,11.11,+0.00,+11.11
112.jpg,127T9295,L29295,30295TN23,No,No,25.00,0.00,62.50,22.22,-25.00,-40.28
113.jpg,188T956,956TN188,956TN188,No,No,12.50,12.50,12.50,12.50,+0.00,+0.00
114.jpg,179T7121,أ712تونىن179,1TN11,No,No,8.33,12.50,16.67,50.00,+4.17,+33.33
115.jpg,169T9685,1599685,169TN339685,No,No,25.00,36.36,75.00,72.73,+11.36,-2.27

SUMMARY
Average,,,,0/20,0/20,12.49,16.15,26.44,28.84,+3.65,+2.40
